City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Marawi,PH,64.65,overcast clouds,7.9986,124.2928,Derogongan Residence
101,Jinchang,CN,64.18,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
102,Kavieng,PG,82.31,light rain,-2.5744,150.7967,Nusa Island Retreat
103,Llangefni,GB,56.77,broken clouds,53.2556,-4.3106,Bull Hotel
105,Kirakira,SB,82.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
107,Lubao,PH,83.14,overcast clouds,14.9167,120.55,Hacienda Gracia
108,New Norfolk,AU,55.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
109,Yambio,SS,67.28,overcast clouds,4.5721,28.3955,Naivasha Hotel
110,Biloxi,US,80.6,heavy intensity rain,30.396,-88.8853,Golden Nugget Biloxi Hotel & Casino
111,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
112,Uddevalla,SE,64.76,broken clouds,58.3478,11.9424,Best Western Hotel Carlia
113,Geraldton,AU,55.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
116,Domodossola,IT,68.85,overcast clouds,46.1165,8.2931,Eurossola
119,Neyshabur,IR,79.39,clear sky,36.2133,58.7958,Amiran Hotel
121,Simdega,IN,83.12,scattered clouds,22.6167,84.5167,Circuit House
122,Carnarvon,AU,60.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
125,Mar Del Plata,AR,54.12,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
126,Chato,TZ,68.38,broken clouds,-2.6378,31.7669,Morning Star Inn
127,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
128,Salamiyah,SY,63.25,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
129,Kununurra,AU,55.38,few clouds,-15.7667,128.7333,Hotel Kununurra
130,College,US,70.12,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
132,Palu,ID,75.15,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
136,Vrangel,RU,60.3,scattered clouds,42.7297,133.0839,"Отель ""БАЛИ"""
137,Flinders,AU,57.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
139,Zhigansk,RU,52.45,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
140,Swan Hill,AU,53.06,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
142,Jingdezhen,CN,71.22,overcast clouds,29.2947,117.2079,Garden Hotel
143,Kushiro,JP,67.15,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
145,Hobart,AU,56.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
148,Pakenham,AU,57.15,overcast clouds,-38.0667,145.4833,Pakenham Ranges
149,Lamar,US,85.91,few clouds,33.6668,-95.5836,Kings Inn Paris TX
150,Victoria,HK,82.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
151,Dingle,PH,78.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
152,Salinopolis,BR,77.79,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
153,Pierre,US,88.72,clear sky,44.3683,-100.351,Ramkota Hotel
154,Kaeo,NZ,60.33,moderate rain,-35.1,173.7833,Bushido Lodge
156,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
157,Santa Luzia,BR,70.7,few clouds,-19.7697,-43.8514,Pousada Chao Earth
159,Kongolo,CD,71.89,overcast clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
161,Inhambane,MZ,67.21,light rain,-23.865,35.3833,Oceano
162,Hambantota,LK,79.45,overcast clouds,6.1241,81.1185,Bungalow 63
164,Raudeberg,NO,52.47,clear sky,61.9875,5.1352,Nordre Silda.
165,Goderich,CA,84.52,scattered clouds,43.7501,-81.7165,Harmony Inn
166,Taloda,IN,81.93,overcast clouds,21.5667,74.2167,பக்ருதீன் அலி
167,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
168,Bull Savanna,JM,80.35,few clouds,17.8868,-77.5902,Big Red's
169,Vila Franca Do Campo,PT,64.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
170,Ponta Do Sol,PT,66.83,clear sky,32.6667,-17.1,Hotel do Campo
172,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
175,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
177,Karratha,AU,74.23,broken clouds,-20.7377,116.8463,ibis Styles Karratha
178,Lata,PT,61.92,clear sky,40.1629,-8.3327,Casa Maquia
179,Conakry,GN,82.47,moderate rain,9.538,-13.6773,Riviera Royal Hotel
181,Faanui,PF,80.98,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
185,Pokrovsk,UA,53.19,broken clouds,48.282,37.1758,Druzhba
186,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
187,Coari,BR,76.75,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
189,Le Port,RE,73.4,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
190,Port Blair,IN,83.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
193,Gillette,US,79.81,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
196,Oran,DZ,67.93,few clouds,35.6911,-0.6417,The Adress Residence SM
197,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
199,Banda Aceh,ID,79.2,overcast clouds,5.5577,95.3222,Sulthan Hotel International
201,Fairbanks,US,68.34,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
203,Burnie,AU,55.89,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
204,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
205,Mingguang,CN,77.65,broken clouds,32.7802,117.9638,Yonghao Hotel
206,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
210,Lompoc,US,77.68,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
211,Cheremshan,RU,55.31,clear sky,54.6667,51.5,"Khostel ""U Kamina"""
212,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
213,Chuy,UY,50.38,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
214,Hithadhoo,MV,82.74,few clouds,-0.6,73.0833,Scoop Guest House
216,Santiago Del Estero,AR,57.76,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
217,Samorin,SK,65.08,clear sky,48.0302,17.3097,Bartal Rodinné Vinárstvo
219,Anderson,US,87.76,clear sky,34.5334,-82.6499,The Bleckley Inn
220,Green River,US,86.18,broken clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
221,Linqiong,CN,69.62,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
222,Anapskaya,RU,62.83,broken clouds,44.89,37.38,Continent Hotel
225,Great Yarmouth,GB,58.08,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
226,Cidreira,BR,63.05,overcast clouds,-30.1811,-50.2056,Hotel Castelo
227,Merta,IN,87.48,few clouds,26.65,74.0333,V Resorts Ganthiya
228,Bogotol,RU,53.64,overcast clouds,56.2078,89.5342,Апартаменты «SOVA»
230,Aksu,CN,72.86,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
231,Minab,IR,89.1,scattered clouds,27.1467,57.0801,Bam campground
233,Codrington,AU,57.27,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
234,Manokwari,ID,79.77,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
236,Caravelas,BR,72.61,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
237,Katsuura,JP,72.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
238,Tanabe,JP,68.41,light rain,33.7333,135.3667,美吉屋旅館
239,Pauini,BR,74.88,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
240,Santo Domingo,DO,76.68,overcast clouds,18.5001,-69.9886,Cabañas City Heart
242,Maner,IN,82.31,scattered clouds,25.65,84.8833,Mukesh Sweets
244,Kisangani,CD,70.03,light rain,0.5167,25.2,Grand Ramela Hotel
247,Fukue,JP,70.12,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
248,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
249,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
250,Mahibadhoo,MV,82.9,broken clouds,3.7833,72.9667,Omadhoo Inn
251,Narsaq,GL,55.62,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
252,Iwanai,JP,62.65,overcast clouds,42.9744,140.5089,いわない高原ホテル
253,Amos,CA,88.07,broken clouds,48.5669,-78.1162,"Amosphère, complexe hôtelier"
254,Namibe,AO,74.14,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
255,Kiruna,SE,50.92,scattered clouds,67.8557,20.2251,Camp Ripan
256,Clarksburg,US,88.48,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
257,Tikhvin,RU,58.28,scattered clouds,59.6451,33.5294,"Gostinitsa ""Staryy Dom"""
258,Cherskiy,RU,68.04,overcast clouds,68.75,161.3,Gostinitsa
259,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Punto de encuentro
260,Manzanillo,CU,81.99,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
261,Mount Gambier,AU,55.31,overcast clouds,-37.8333,140.7667,Commodore on the Park
264,Peniche,PT,61.72,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
266,Pimentel,PE,70.09,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
267,Paraiso,CR,73.42,broken clouds,9.8383,-83.8656,Rinconcito Verde
269,Manggar,ID,81.84,broken clouds,-2.8833,108.2667,Guest Hotel
271,Kodiak,US,55.89,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
272,Bredasdorp,ZA,56.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
274,Waipawa,NZ,55.02,light rain,-41.4122,175.5153,Tora Coastal Walk
277,Terney,RU,62.1,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
279,Constitucion,CL,51.93,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
280,Taltal,CL,61.14,few clouds,-25.4,-70.4833,Residencial Karime
282,Itoman,JP,75.58,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
284,Moerai,PF,73.44,broken clouds,-22.4333,-151.3333,Le Manotel
285,Weiser,US,76.32,overcast clouds,44.251000000000005,-116.9693,The Colonial Motel
287,Solont,RO,54.99,clear sky,46.55,26.5167,Motel Zemeș
289,Juneau,US,54.84,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
290,Ust-Nera,RU,63.41,overcast clouds,64.5667,143.2,Hotel Ust-Nera
291,Moron,AR,53.98,light rain,-34.6534,-58.6198,Hotel Morón
292,Sabha,LY,82.11,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
293,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
294,Port Alfred,ZA,64.06,clear sky,-33.5906,26.891,The Halyards Hotel
295,Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
296,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
297,San Rafael,AR,53.47,broken clouds,-34.6177,-68.3301,Hotel San Rafael
299,Hohhot,CN,62.89,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
300,Winchester,GB,61.09,overcast clouds,51.0651,-1.3187,"The Wykeham Arms, Winchester"
301,Manjacaze,MZ,60.22,broken clouds,-24.7117,33.8828,Hotel Gani
303,Muroto,JP,69.84,overcast clouds,33.2833,134.15,Oota Ryokan
304,Balugaon,IN,83.62,broken clouds,20.1667,85.1,Govind Chandra Pradhan
306,Fortuna,US,71.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
307,Miri,MY,73.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
308,Lubango,AO,54.36,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
309,Mindelo,CV,72.95,few clouds,16.8901,-24.9804,Hotel Gaudi
311,Asau,RO,56.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
312,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
313,Praia Da Vitoria,PT,66.45,few clouds,38.7333,-27.0667,Hotel Branco I
314,Rongcheng,CN,73.63,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
316,Marsh Harbour,BS,79.52,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
317,Portland,US,64.98,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
318,Sumbawanga,TZ,58.8,broken clouds,-7.9667,31.6167,Matamba II Guest House
319,Oyama,JP,73.65,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
320,Damietta,EG,71.49,clear sky,31.4165,31.8133,SULIMAN INN
321,Serta,PT,60.98,clear sky,39.8085,-8.0988,Hotel LarVerde
322,Ribeira Grande,PT,65.16,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
323,Erenhot,CN,70.74,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
324,Culaman,PH,81.52,overcast clouds,5.9603,125.6586,Jasmin Ex House
326,Christchurch,NZ,50.02,light rain,-43.5333,172.6333,YMCA Christchurch
327,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
328,Kinshasa,CD,75.52,mist,-4.3246,15.3215,Flat Hotel Alhdeef
330,Mount Isa,AU,56.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
332,Hawera,NZ,58.46,overcast clouds,-39.5917,174.2833,The Park Motel
334,Husavik,IS,51.71,broken clouds,66.0449,-17.3389,Bjarnabúð
335,San Carlos Del Zulia,VE,76.78,overcast clouds,9.0,-71.9135,Hotel El Manantial
336,Gat,IL,69.4,clear sky,31.61,34.7642,OlusHome
338,Nishihara,JP,74.86,moderate rain,26.1842,127.7558,Minshuku Agaihama
339,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
342,Norden,DE,55.94,clear sky,53.6,7.2,Stadthotel Restaurant Smutje
344,Tura,IN,71.94,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
345,Gerash,IR,86.41,clear sky,27.6652,54.1371,Sa'adat House
346,Sabang,ID,82.8,overcast clouds,5.8933,95.3214,Hotel Citra
347,Havelock,US,84.43,broken clouds,34.8791,-76.9013,Sherwood Motel
348,Zaraza,VE,78.55,broken clouds,9.3503,-65.3245,Hotel Zaraza
349,Pundaguitan,PH,82.17,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
350,Airai,TL,59.95,scattered clouds,-8.9266,125.4092,Juvinal Martin
352,Urubamba,PE,58.1,overcast clouds,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
353,Padang,ID,75.6,broken clouds,-0.9492,100.3543,Mercure Padang
354,Broken Hill,AU,51.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
355,Dhidhdhoo,MV,82.06,overcast clouds,6.8833,73.1,Dhidhoo beach
356,Pringsewu,ID,73.44,broken clouds,-5.3582,104.9744,Urban Style by Front One
357,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
358,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
360,Tabou,CI,78.53,overcast clouds,4.423,-7.3528,hotêl doufoulougou
362,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
363,Ipora,BR,71.31,overcast clouds,-16.4419,-51.1178,Oásis Motel
364,La Ronge,CA,64.62,broken clouds,55.1001,-105.2842,Northland Motor Hotel
366,Malakal,SS,78.06,overcast clouds,9.5334,31.6605,Nile Palace Hotel
367,Havre-Saint-Pierre,CA,57.56,clear sky,50.2334,-63.5986,Auberge Niapiskau
369,Kirkuk,IQ,77.72,clear sky,35.4681,44.3922,تل عبدالعزيز
370,Crawfordsville,US,83.8,scattered clouds,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
372,Cleveland,US,88.27,few clouds,41.4995,-81.6954,Renaissance Cleveland Hotel
373,Port Lincoln,AU,60.82,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
374,Clarence Town,AU,50.81,scattered clouds,-32.5833,151.7833,River Downs Cottage
376,Kalmunai,LK,80.33,overcast clouds,7.4167,81.8167,VS Villa
377,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
379,Tamandare,BR,76.14,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
380,Guerrero Negro,MX,69.49,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
382,Kieta,PG,82.51,light rain,-6.2167,155.6333,Uruna Bay Retreat
383,Qom,IR,83.41,clear sky,34.6401,50.8764,Qom Hotel
384,Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
387,Cobija,BO,81.52,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
388,Hamilton,US,84.97,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
389,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
390,Heze,CN,83.66,overcast clouds,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
394,San Bartolome De Tirajana,ES,57.67,scattered clouds,27.9248,-15.5733,Las Tirajanas
395,Surt,LY,73.54,scattered clouds,31.2089,16.5887,الهادي ابوشعاله سرت
398,Rio Verde De Mato Grosso,BR,77.77,few clouds,-18.9181,-54.8442,Hotel Valência
399,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
400,Ternate,ID,81.32,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
403,Ambositra,MG,50.34,overcast clouds,-20.5167,47.25,Grand Hôtel
404,Wufeng,CN,59.81,overcast clouds,27.45,104.8333,中山宾馆
406,Piney Green,US,83.26,few clouds,34.716,-77.3202,Holiday City Mobile Home Community
407,Saint-Leu,RE,72.46,light rain,-21.15,55.2833,La Caz Oceane
